5281;QUIRINAS/P.BATALHA/CIRC./ESCOLAR/SABADO;A993-1;O
5280;QUIRINAS/PASSO DA BATALHA (CIRCULAR ALIMENTADORA);A991-1;O
5279;PASSO DA BATALHA (CIRCULAR / ALIMENTADORA);A99-1;O
5278;PARADA 21 ESCOLAR/ALIMENTADORA;A981-2;O
5277;PARADA 21 ESCOLAR/ALIMENTADORA;A981-1;O
5276;PARADA 21 / ALIMENTADORA;A98-2;O
5275;PARADA 21 / ALIMENTADORA;A98-1;O
5274;PASSO DA TAQUARA/ALIMENTADORA ESCOLAR;A96-2;O
5273;PASSO DA TAQUARA/ALIMENTADORA ESCOLAR;A96-1;O
5272;PASSO DA BATALHA/ALIMENTADORA/ESCOLAR;A951-2;O
5271;PASSO DA BATALHA/ALIMENTADORA/ESCOLAR;A951-1;O
5270;COSTA E SILVA/SAMB菗DROMO;6332-1;O
5269;ALIMENTADORA ESCOLAR ANA IRIS;A93-2;O
5268;ALIMENTADORA ESCOLAR ANA IRIS;A93-1;O
5267;ALIMENTADORA RUA DO SCHNEIDER;A875-2;O
5266;ALIMENTADORA RUA DO SCHNEIDER;A875-1;O
5265;ALIMENTADORA RUA SCHNEIDER/BEL菈M VELHO;A874-2;O
5264;ALIMENTADORA RUA SCHNEIDER/BEL菈M VELHO;A874-1;O
5263;ALIMENTADORA H菎PICA/COSTA GAMA;A872-2;O
5262;ALIMENTADORA H菎PICA/COSTA GAMA;A872-1;O
5261;ALIM.MORADAS DA HIPICA VIA GEDEON LEITE;A871-2;O
5260;ALIM.MORADAS DA HIPICA VIA GEDEON LEITE;A871-1;O
5259;ALIMENT. MORADAS DA HIPICA/COSTA GAMA;A87-2;O
5258;ALIMENT. MORADAS DA HIPICA/COSTA GAMA;A87-1;O
5257;ALIMENTADORA BEL菈M VELHO/UFRGS;A862-1;O
5256;ALIMENTADORA LAMI/BELEM NOVO;A69-2;O
5255;ALIMENTADORA LAMI/BELEM NOVO;A69-1;O
5254;LAMI ATE TERMINAL SAPOLANDIA;A68-2;O
5253;ESCOLAR LAMI II;A671-2;O
5252;ESCOLAR LAMI II;A671-1;O
5251;ESCOLAR LAMI;A67-2;O
5250;ESCOLAR LAMI;A67-1;O
5249;ALIMENTADORA RESTINGA/LOMBA/5UNIDADE;A141-2;O
5248;ALIMENTADORA RESTINGA/LOMBA/5UNIDADE;A141-1;O
5247;ALIMENTADORA LOMBA/RESTINGA/5 UNIDADE;A14-2;O
5246;ALIMENTADORA LOMBA/RESTINGA/5 UNIDADE;A14-1;O
5245;SAO CAETANO (ALIMENTADORA);A13-2;O
5244;SAO CAETANO (ALIMENTADORA);A13-1;O
5243;RUBEM BERTA (CAIRU);862-2;O
5242;RUBEM BERTA (CAIRU);862-1;O
5241;LEOPOLDINA/CAIRU/NOITE;8612-2;O
5240;LEOPOLDINA / CAIRU;861-2;O
5239;LEOPOLDINA / CAIRU;861-1;O
5238;J. CARVALHO/J. SALSO(GREVE NORTRAN);4733-2;O
5237;PARQUE DOS MAIAS / CAIRU;831-2;O
5236;PARQUE DOS MAIAS / CAIRU;831-1;O
5235;AGOSTINHO / CAIRU;827-2;O
5234;AGOSTINHO / CAIRU;827-1;O
5233;NOVA GLEBA-SANTA ROSA/CAIRU;821-2;O
5232;NOVA GLEBA-SANTA ROSA/CAIRU;821-1;O
5231;RUBEM BERTA (SERTORIO);762-2;O
5230;RUBEM BERTA (SERTORIO);762-1;O
5229;LEOPOLDINA/SERTORIO/NOITE;7612-2;O
5228;LEOPOLDINA/SERTORIO (CHACARA DA FUMACA);7611-2;O
5227;LEOPOLDINA/SERTORIO (CHACARA DA FUMACA);7611-1;O
5226;LEOPOLDINA/SERTORIO;761-2;O
5225;LEOPOLDINA/SERTORIO;761-1;O
5224;PARQUE DOS MAIAS / SERT菗RIO / TRENSURB;7315-2;O
5223;PARQUE DOS MAIAS/CAIR菤 VIA SERT菗RIO;7311-2;O
5222;PARQUE DOS MAIAS/CAIR菤 VIA SERT菗RIO;7311-1;O
5221;PARQUE DOS MAIAS / SERTORIO;731-2;O
5220;PARQUE DOS MAIAS / SERTORIO;731-1;O
5219;AGOSTINHO/CAIR菤 VIA SERT菗RIO;7271-2;O
5218;AGOSTINHO/CAIR菤 VIA SERT菗RIO;7271-1;O
5217;AGOSTINHO/SERTORIO;727-2;O
5216;AGOSTINHO/SERTORIO;727-1;O
5215;NOVA GLEBA-SANTA ROSA/SERTORIO;721-2;O
5214;NOVA GLEBA-SANTA ROSA/SERTORIO;721-1;O
5213;RUBEM BERTA/NAVEGANTES;6629-2;O
5212;RUBEM BERTA/NAVEGANTES;6629-1;O
5211;RUBEM BERTA/TRENSURB;6625-2;O
5210;RUBEM BERTA;662-2;O
5209;RUBEM BERTA;662-1;O
5208;LEOPOLDINA/NAVEGANTES;6619-2;O
5207;LEOPOLDINA/NAVEGANTES;6619-1;O
5206;LEOPOLDINA/NOITE;6612-2;O
5205;LEOPOLDINA (CHACARA DA FUMACA);6611-2;O
5204;LEOPOLDINA (CHACARA DA FUMACA);6611-1;O
5203;LEOPOLDINA;661-2;O
5202;LEOPOLDINA;661-1;O
5201;INGA;659-2;O
5200;INGA;659-1;O
5199;COSTA E SILVA (ESCOLAR);6331-1;O
5198;COSTA E SILVA;633-2;O
5197;COSTA E SILVA;633-1;O
5196;NOSSA SENHORA DE F莵TIMA/NOTURNA;6321-2;O
5195;NOSSA SENHORA DE FATIMA;632-2;O
5194;NOSSA SENHORA DE FATIMA;632-1;O
5193;PARQUE DOS MAIAS/TRENSURB;6315-2;O
5192;PARQUE DOS MAIAS;631-2;O
5191;PARQUE DOS MAIAS;631-1;O
5190;AGOSTINHO/NAVEGANTES;6279-2;O
5189;AGOSTINHO/NAVEGANTES;6279-1;O
5188;AGOSTINHO;627-2;O
5187;AGOSTINHO;627-1;O
5186;SAO BORJA;624-2;O
5185;SAO BORJA;624-1;O
5184;NOVA GLEBA/SANTA ROSA/NAVEGANTES;6219-2;O
5183;NOVA GLEBA/SANTA ROSA/NAVEGANTES;6219-1;O
5182;NOVA GLEBA/SANTA ROSA;621-2;O
